% TRITON ROCKET CLUB
% ROCKET DRAG DOCUMENT - 6 inch P-motor
% (c) 2015 TRITON ROCKET CLUB
%
% Last updated 11/01/2015
%
% For use with RocketAltitudeEstimation.m
% Use same format for testing alternate parameters
%
% Use OpenRocket to get these values!
% Tools->Component Analysis->Drag Characteristics
%
% Columns:
% (1) Mach number
% (2) Drag Coefficient

0.00	1.53
0.01	0.57
0.02	0.51
0.04	0.46
0.05	0.45
0.06	0.44
0.07	0.43
0.08	0.42
0.10	0.41
0.12	0.40
0.35	0.41
0.47	0.42
0.60	0.43
0.66	0.44
0.70	0.45
0.78	0.46
0.82	0.48
0.94	0.50
1.00	0.51
1.15	0.49
1.35	0.45
1.51	0.43
1.69	0.40
1.84	0.37
2.00	0.35
2.20	0.33
2.40	0.31
2.60	0.29
2.80	0.27
3.00	0.26
